id,age,gender,activities,bike,run,swim,other,1s_critical_power,15s_critical_power,2m_critical_power,3m_critical_power,5m_critical_power,8m_critical_power,10m_critical_power,20m_critical_power,30m_critical_power,1m_peak_wpk,5m_peak_wpk,10m_peak_wpk,20m_peak_wpk,30m_peak_wpk,
6d4ea42d-2cb7-4967-b1fc-b21a02dd9ef2,51,M,57,57,0,0,0,998.0,768.6,361.35833,354.44444,344.40667,335.53958,329.43833,296.1725,280.13667,5.70811,4.65414,4.45187,4.00233,3.78563,
5a8e656e-116c-4c19-b5f9-e0f47f792345,68,M,14,14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
84b6b883-09c4-4bf6-8d7b-7285ffa559ab,40,M,1967,1212,1,0,754,892.0,661.06667,409.39167,348.56111,328.93333,310.94167,306.14333,300.30917,285.34389,8.40617,6.20158,5.88737,5.6551,5.48738,
fa7c04fa-84ad-47d8-bc60-87778974a8a7,46,M,534,469,0,0,65,1480.0,625.6,275.575,250.05556,227.61667,215.53958,208.35167,202.56417,184.69111,4.47472,3.05526,2.79667,2.71898,2.47908,
bce0f962-41e6-4d36-a5f0-e12f6474ea71,32,M,1044,821,0,0,223,871.0,989.75,587.09091,567.03867,455.06977,443.94179,422.67554,359.94838,345.07496,11.81421,8.12625,7.41536,6.42765,6.16205,
b503029f-64a4-425f-a844-a29f1644081d,26,M,550,448,38,6,58,2318.0,1120.8,476.28333,426.27222,415.02333,357.66458,349.225,332.44583,322.31778,7.76667,5.38991,4.53539,4.31748,4.18595,
20b431ec-c039-4416-baf4-b7ca7a0a4a6a,47,M,656,629,1,1,25,2730.0,1961.53333,508.05,437.45556,388.77667,371.95833,367.20667,363.13958,328.34944,7.45383,3.81902,3.60714,3.56719,3.22544,
961fe967-882a-48bc-94d4-c303aacbf1a6,51,M,41,0,41,0,0,366.0,332.0,292.91667,288.36667,284.75,282.76979,279.6,277.91417,276.285,4.67052,4.25,4.17313,4.14797,4.12366,
1b843c5c-122a-4160-8640-898bfa7cc8fd,49,M,768,256,37,0,475,2000.0,843.2,396.11667,384.67778,374.99,347.03958,329.49667,318.48333,313.11667,6.61496,4.89178,4.29832,4.15465,4.08464,
7e30b7bd-60bf-49f6-93ac-8ccc38baabaa,43,M,332,215,44,20,53,954.0,780.93333,322.13333,294.51111,265.3,244.40625,237.93667,222.115,208.34278,5.64204,3.81449,3.5808,3.27486,3.14328,
246a7126-b4de-466a-8a00-4072567bbc3d,53,M,450,438,0,0,12,994.0,839.53333,384.25,359.73333,349.05333,320.9625,307.12167,286.62583,266.20722,6.42679,4.4184,3.88762,3.62818,3.36971,
201f345f-ef78-40a0-a4cb-4852c12ceb3a,18,M,157,156,0,0,1,1410.0,1166.66667,713.58333,659.82222,640.17333,607.07083,604.73333,578.89833,569.42778,8.43474,6.73867,6.36561,6.09367,5.99398,
e42d6e5c-c147-4330-baee-2462997ff43e,51,M,179,0,179,0,0,327.0,312.33333,273.50833,267.27778,259.96667,257.33542,257.73333,256.36833,254.66,3.64513,3.37551,3.36906,3.35122,3.32889,
86d94cbd-d40e-4791-b6f3-26e9de9176a9,54,M,81,22,51,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
a04750f5-34dd-4647-ab1b-f6edac9a934b,69,M,82,69,0,0,13,786.0,568.4,330.55,313.49444,297.09,288.30833,279.99667,252.42417,246.77611,5.27169,4.06973,3.83557,3.45787,3.38049,
cc2b35ae-67ea-410d-8b68-85571eaf2869,59,M,180,179,0,0,1,2174.0,631.33333,367.64167,361.28889,341.46667,328.0,325.96333,319.29417,315.73222,7.67636,6.20848,5.92661,5.80535,5.74059,
0df2a7da-7503-468a-9aeb-014df3f1a2b6,18,M,12,0,9,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
31754a94-962e-438c-a5c5-f6ddcf779827,42,M,701,271,217,109,104,1231.0,859.53333,395.26667,376.51111,341.71333,322.97708,322.16,289.33833,274.96667,5.67649,3.59698,3.39116,3.04567,2.89439,
8597fa79-938f-4796-b9d8-4d3e326d86bb,69,M,1140,797,1,0,342,1210.0,901.84753,695.88658,649.20836,566.36784,519.06655,489.53837,417.89032,384.44086,9.37393,7.45221,6.44129,5.49856,5.05843,
a6880337-3691-484c-a803-d9b708ac828a,51,M,441,85,0,0,356,1000.0,1000.0,629.85775,542.66198,404.51742,384.2907,343.11855,300.32083,281.22209,9.78339,4.93314,4.18437,3.66245,3.42954,
d650625e-d98c-4e79-8a9b-5f93932c017c,18,M,351,348,0,0,3,2672.0,553.33333,320.63333,306.83889,276.87,260.4625,251.13833,231.43,218.40056,5.99769,4.25954,3.86367,3.56046,3.36001,
c440482c-5988-4b7a-9086-1f2dce9945d9,36,M,163,153,0,0,10,909.0,616.2,332.13333,313.86111,250.99,232.84375,221.84,220.47833,195.92778,6.06268,3.53507,3.12451,3.10533,2.75955,
f5838ed3-78b5-4947-b551-26b90ac90895,60,M,406,63,0,0,343,1054.0,649.53333,327.73333,294.56667,274.39667,264.89792,257.18167,238.72917,233.85889,5.85474,4.03294,3.77992,3.50872,3.43714,
86633f72-7ed9-42f8-a74c-388a303e561d,33,M,34,22,0,0,12,1404.0,1130.6,510.26667,437.47778,353.21,344.33958,331.685,321.94167,314.10222,8.16124,4.25554,3.9962,3.87882,3.78436,
43aeb4c5-d70b-49c3-a22f-45a1781843d1,43,M,1050,1050,0,0,0,2779.0,1160.93333,570.84693,483.21181,368.89333,356.90589,354.29774,337.86628,327.86496,8.53747,4.73324,4.46782,4.26061,4.13449,
2645df5d-0cde-433e-866a-20fc101b5614,18,M,38,38,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
caeefc73-fd7a-484c-a106-411d03447a1a,33,M,19,16,1,0,2,587.0,395.73333,207.36667,192.71667,188.95,183.54375,179.57833,166.71167,146.67056,3.57132,2.77868,2.64086,2.45164,2.15692,
c81e2d90-5bc2-4e6e-ac50-fa935cf424a1,50,M,978,313,259,178,228,886.0,550.33333,265.25833,253.95556,240.28333,225.9625,223.48667,211.81167,207.32944,4.82394,3.38427,3.1477,2.98326,2.92013,
2e7ab97d-6350-47b1-a349-e7b210d37ab0,40,M,310,257,38,10,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ffc8a4fb-730f-4bf6-a99c-2fc6664fe5fa,39,M,214,183,8,0,23,1145.0,967.8,403.23333,371.73889,325.48,312.3875,302.23667,294.79667,275.78667,6.63071,3.87476,3.59806,3.50948,3.28317,
237f6290-1323-4d87-925e-16b5530c13bc,48,M,1362,516,30,0,816,1213.0,866.13333,395.71865,381.50727,333.36,308.48125,302.50333,295.49868,289.45358,7.31428,5.0685,4.59935,4.49285,4.40094,
807d09d2-6c2a-44e8-b83d-cdf375aa8b7e,-69,F,13,13,0,0,0,318.0,203.66667,195.325,171.04444,162.57,162.27708,161.25,152.19667,148.26833,3.15661,2.58048,2.55952,2.41582,2.35347,
3a14e18b-1557-428b-bbbd-11389c4f34ef,45,M,309,308,0,0,1,1730.0,1032.53333,474.59167,374.21667,330.54667,299.79167,288.92333,252.52,236.98722,7.71067,4.40729,3.85231,3.36693,3.15983,
b7470512-d12a-40ac-b775-df09256ff7b7,45,M,2258,1275,454,73,456,2000.0,1390.18533,493.16667,482.66667,476.76333,426.39583,403.42667,366.67833,350.14944,7.618,6.35684,5.37902,4.88904,4.66866,
bc1e43d9-b493-481e-b5e0-01b24392d89f,44,M,214,4,0,0,210,2047.0,831.426,483.4,451.04444,405.27667,334.98856,333.53719,307.47431,288.18894,5.99315,4.62645,3.8075,3.50998,3.28983,
c131b8ea-a19a-495c-a82d-ea56b84495e9,61,M,566,535,0,0,31,735.0,379.9678,344.79167,232.48889,218.71667,204.64167,204.60333,204.34917,171.95778,4.99053,3.06567,2.86656,2.863,2.42548,
df07b2b7-fdfd-462b-886b-3525c51b10a1,47,M,145,140,0,0,5,950.0,723.33333,350.5,312.66111,285.10333,271.59167,264.81333,244.95833,229.73333,7.00763,4.83226,4.48836,4.15184,3.89379,
f5262b75-6c69-4a4c-b29c-3fb5f3df00d5,30,M,226,68,0,0,158,1410.0,694.06667,375.6,337.27222,310.63667,287.42292,264.32667,249.325,239.30083,6.13009,4.03424,3.43281,3.23799,3.1078,
8c69911c-79b3-4281-99ac-244d8cf93a2f,42,M,6,0,6,0,0,429.0,404.13333,332.69167,330.32222,326.89,322.95729,321.19667,314.08208,310.83333,4.69097,4.54014,4.46106,4.36225,4.31713,
c6964a76-aad4-41c7-856d-cb558f691053,42,M,16,16,0,0,0,589.0,476.2,238.9,221.86667,203.56,198.825,198.28833,181.33583,177.84944,4.78135,3.59633,3.47874,3.2081,3.12017,
dfc5d38f-4910-4a35-add1-1686a8aa609a,21,M,1408,1382,0,0,26,1480.0,1098.86667,750.91667,710.65,617.18667,538.96458,473.04667,413.61083,404.455,12.78148,9.79661,7.50868,6.56525,6.41992,
eb1f5eee-d6af-433c-a411-78cb721d1d4e,33,M,390,197,66,0,127,1000.0,1000.0,892.76503,722.39418,578.33305,463.69459,431.05894,405.32239,386.28395,13.51351,7.81531,5.76237,5.36978,5.22005,
fbdd453c-579f-4fcf-9c4b-18f25e2233e8,58,M,219,219,0,0,0,854.0,572.6,272.64167,257.57222,239.12833,235.49062,234.21417,221.525,198.97556,3.36329,2.53456,2.48247,2.34798,2.10897,
